"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 22","33,761.11","32,755.71","33,765.02","32,388.30","-","2.78%"
"Jul 22","32,846.45","30,740.97","32,906.21","30,145.31","-","6.71%"
"Jun 22","30,779.71","33,156.31","33,270.83","29,654.59","-","-6.71%"
"May 22","32,991.97","33,045.95","34,113.40","30,635.76","3.01B","0.04%"
"Apr 22","32,977.21","34,740.89","35,492.22","32,913.15","7.22B","-4.91%"
"Mar 22","34,678.35","33,813.48","35,372.26","32,578.73","9.22B","2.32%"
"Feb 22","33,892.60","35,151.47","35,824.28","32,272.64","7.36B","-3.53%"
"Jan 22","35,131.86","36,321.59","36,952.65","33,150.33","8.90B","-3.32%"
"Dec 21","36,338.30","34,678.94","36,679.44","34,006.98","8.41B","5.38%"
"Nov 21","34,483.72","35,833.65","36,565.73","34,424.44","7.23B","-3.73%"
"Oct 21","35,819.56","33,930.70","35,892.92","33,785.54","6.77B","5.84%"
"Sep 21","33,843.92","35,387.55","35,475.40","33,613.03","6.66B","-4.29%"
"Aug 21","35,360.73","34,968.56","35,631.19","34,690.25","5.66B","1.22%"
"Jul 21","34,935.47","34,507.32","35,171.52","33,741.76","6.71B","1.25%"
"Jun 21","34,502.51","34,584.19","34,849.32","33,271.93","6.83B","-0.08%"
"May 21","34,529.45","33,904.89","35,091.56","33,473.80","6.61B","1.93%"
"Apr 21","33,874.85","33,054.58","34,256.75","32,985.35","6.89B","2.71%"
"Mar 21","32,981.55","31,065.90","33,259.00","30,547.53","9.79B","6.62%"
"Feb 21","30,932.37","30,054.73","32,009.64","30,014.97","6.77B","3.17%"
"Jan 21","29,982.62","30,627.47","31,272.22","29,856.30","8.22B","-2.04%"
"Dec 20","30,606.48","29,797.50","30,637.47","29,599.29","8.18B","3.27%"
"Nov 20","29,638.64","26,691.28","30,116.51","26,691.28","7.92B","11.84%"
"Oct 20","26,501.60","27,940.63","28,957.90","26,143.77","8.51B","-4.61%"
